idsupermercado;nombreproducto;precioproducto;precioporunidadproducto
1;Jamoncitos de pollo familiar Selección de Dia bandeja 900 g aprox.;3.59;3.99
1;Alas partidas de pollo Selección de Dia bandeja 500 g aprox.;2.75;5.49
1;Longaniza de pollo Selección de Dia bandeja 400 g;2.99;7.48
1;Pechugas enteras de pollo Selección de Dia bandeja 600 g aprox.;4.19;6.99
1;Pechuga de pollo entera formato familiar Selección de Dia bandeja 1 Kg aprox.;6.49;6.49
1;Solomillo de pollo Selección de Dia bandeja 400 g aprox.;3.48;8.69
1;Albóndigas de pollo Selección de Dia bandeja 420 g;3.79;9.02
1;Cuartos traseros de pollo Selección de Dia bandeja 760 g aprox.;2.65;3.49
1;Alas adobadas de pollo Selección de Dia bandeja 450 g aprox.;2.70;5.99
1;Escalopín de vacuno extratierno Elpozo Extratiernos bandeja 400 g aprox.;7.20;17.99
1;Carne de vacuno en tacos añojo Selección de Dia bandeja 500 g aprox.;8.15;16.29
1;Filete 1º de vacuno Selección de Dia bandeja 450 g aprox.;8.41;18.69
1;Entrecot de lomo bajo de vacuno Selección de Dia bandeja 350 g aprox.;8.40;23.99
1;Escalopines de vacuno Selección de Dia bandeja 450 g aprox.;8.41;18.69
1;Medallón de cadera vacuno Selección de Dia bandeja 300 g aprox.;5.70;18.99
1;Carpaccio con salsa de trufa Casa de vacas bandeja 125 g;4.99;39.92
1;Filete tapilla añojo Selección de Dia bandeja 350 g aprox.;8.40;23.99
1;Pastrami con salsa de miel y mostaza Casa de vacas bandeja 145 g;4.99;34.41
1;Cachopo de vacuno sin gluten Aldelis bandeja 300 g aprox.;5.34;17.79
1;Steak tartar marinado Casa de vacas bandeja 180 g;8.99;49.94
1;Paté clásico La piara pack 2 x 75 g;1.00;6.67
1;Paté de atún  Nuestra Alacena de Dia pack 2 x 75 g;1.65;11.00
1;Paté a la pimienta Nuestra Alacena de Dia frasco 125 g;1.09;8.72
1;Mousse de foie de pato Aoste blister 100 g;1.99;19.90
1;Paté de salmón Nuestra Alacena de Dia frasco 110 g;1.49;13.55
1;Paté de cerdo intenso Nuestra Alacena de Dia pack 3 x 75 g;1.75;7.78
1;Paté a las finas hierbas Nuestra Alacena de Dia frasco 125 g;1.09;8.72
1;Paté de hígado de cerdo suave Nuestra Alacena de Dia pack 2 x 75 g;1.15;7.67
1;Paté La piara Tapa Negra lata 3 x 75 g;3.99;17.73
1;Paté de campaña Nuestra Alacena de Dia frasco 125 g;1.09;8.72
1;Paté de cerdo ibérico Nuestra Alacena de Dia frasco 125 g;1.19;9.52
1;Paté de pato superior Martiko blister 75 g;1.99;26.53
1;Paté vegetal de tomate y albahaca Carlota Natural frasco 110 g;1.99;18.09
1;Verduras braseadas Vegedia frasco 110 g;1.49;13.55
1;Paté de cerdo original Argal lata 3 x 83 g;1.95;7.83
1;Paté vegetal de papaya. manzana y curry Carlota Natural frasco 110 g;1.99;18.09
1;Paté de atún La piara lata 2 x 75 g;3.99;26.60
1;Paté de ciervo al pedro ximénez Gourmet cazorla frasco 110 g;1.95;17.73
1;Paté menos grasa La piara Tapa Negra lata 2 x 73 g;3.99;27.33
1;Paté a la pimienta La piara pack 2 x 75 g;1.50;10.00
1;Paté a las finas hierbas La piara pack 2 x 75 g;1.50;10.00
1;Paté vegetal de berenjena con semillas girasol Carlota Natural frasco 110 g;1.99;18.09
1;Paté de hígado de cerdo suave Apis lata 3 x 80 g;2.29;9.54
1;Paté ibérico al oporto Gourmet cazorla frasco 110 g;1.95;17.73
1;Crema de atún Bocadelia frasco 180 g;3.89;21.61
1;Paté picante La piara lata 2 x 73 g;3.99;27.33
1;Albóndigas de cerdo Selección de Dia bandeja 400 g;1.99;4.98
1;Estofado de cerdo Selección de Dia bandeja 600 g aprox.;3.59;5.99
1;Escalopín de lomo de cerdo marinado Elpozo Extratiernos bandeja 600 g aprox.;4.99;8.32
1;Lomo extra adobado Selección de Dia bandeja 300 g;2.49;8.30
1;Filete de cinta de lomo marinado Selección de Dia bandeja 300 g;2.69;8.97
1;Chuleta de aguja de cerdo Selección de Dia bandeja 600 g aprox.;3.77;6.29
1;Tira de costilla de cerdo Selección de Dia bolsa 1 Kg aprox.;5.55;5.55
1;Longaniza sin tripa Selección de Dia bandeja 325 g;1.99;6.12
1;Longaniza fresca Selección de Dia bandeja 350 g;2.49;7.11
1;Solomillo de cerdo Selección de Dia bolsa 600 g aprox.;5.39;8.99
1;Panceta fileteada de cerdo Selección de Dia bandeja 500 g aprox.;3.75;7.49
1;Secreto de cerdo Selección de Dia bolsa 600 g aprox.;4.07;6.79
1;Panceta adobada de cerdo Selección de Dia bandeja 300 g aprox.;2.70;8.99
1;Chistorra de navarra Selección de Dia bolsa 220 g;1.69;7.68
1;Costillas troceadas de cerdo Selección de Dia bandeja 500 g aprox.;4.10;8.19
1;Cinta de lomo adobada Selección de Dia bandeja 900 g aprox.;6.74;7.49
1;Pincho de cerdo adobado Selección de Dia bandeja 340 g;3.69;10.85
1;Lomo de cerdo marinado empanado Selección de Dia bandeja 450 g aprox.;3.91;8.69
1;Chuletas de cerdo de sajonia Selección de Dia bandeja 400 g aprox.;3.92;9.79
1;Morcilla de burgos Selección de Dia bolsa 300 g;1.79;5.97
1;Compango asturiano Vallina bolsa 250 g;2.69;10.76
1;Lomo de cerdo extra al ajillo Selección de Dia bandeja 300 g;2.49;8.30
1;Oreja de cerdo adobada Emcesa bolsa 500 g;4.49;8.98
1;Oreja de cerdo al ajillo Emcesa bolsa 500 g;4.49;8.98
1;Medio conejo troceado Selección de Dia bandeja 650 g aprox.;6.30;9.69
1;Solomillo de pavo Selección de Dia bandeja 400 g aprox.;3.40;8.49
1;Chuletas de pavo al ajillo Selección de Dia bandeja 600 g aprox.;4.49;7.49
1;Filetes de pechuga de pavo Selección de Dia bandeja 600 g aprox.;5.39;8.99
1;Fiambre de pechuga de pavo adobada Serrano bandeja 240 g;2.29;9.54
1;Filete de pavo al pimentón Selección de Dia bandeja 575 g aprox.;5.17;8.99
1;Fiambre de lomo de pavo Serrano bandeja 240 g;2.19;9.13
1;Preparado de carne picada de cerdo y vacuno Selección de Dia bandeja 500 g;4.49;8.98
1;Burger meat de pollo Selección de Dia bandeja 540 g;3.99;7.39
1;Preparado de carne picada de cerdo Selección de Dia bandeja 500 g;2.99;5.98
1;Burger meat de cerdo y vacuno Selección de Dia bandeja 540 g;4.69;8.69
1;Burger crunchy chicken 2 unidades Selección de Dia bandeja 240 g;1.99;8.29
1;Preparado de carne picada de vacuno y cerdo Selección de Dia bandeja 900 g;7.79;8.66
